tag,sentence,,,,,
O,to,,,,,
O,present,,,,,
O,the,,,,,
O,2016,,,,,
O,Annual,,,,,
O,Report,,,,,
O,of,,,,,
O,Alliance,,,,,
O,Resources,,,,,
O,Limited,,,,,
O,(,,,,,
O,Alliance,,,,,
O,),,,,,
O,.,,,,,
O,During,,,,,
O,the,,,,,
O,financial,,,,,
O,year,,,,,
O,",",,,,,
O,Alliance,,,,,
O,completed,,,,,
O,the,,,,,
O,sale,,,,,
O,of,,,,,
O,Alliance,,,,,
O,Craton,,,,,
O,Explorer,,,,,
O,Pty,,,,,
O,Ltd's,,,,,
O,(,,,,,
O,ACE,,,,,
O,’,,,,,
O,s,,,,,
O,),,,,,
O,interest,,,,,
O,in,,,,,
O,the,,,,,
O,Four,,,,,
O,Mile,,,,,
O,Uranium,,,,,
O,Project,,,,,
O,in,,,,,
O,South,,,,,
O,Australia,,,,,
O,",",,,,,
O,including,,,,,
O,ACE,,,,,
O,’,,,,,
O,s,,,,,
O,share,,,,,
O,of,,,,,
O,uranium,,,,,
O,oxide,,,,,
O,concentrates,,,,,
O,already,,,,,
O,mined,,,,,
O,",",,,,,
O,for,,,,,
O,a,,,,,
O,total,,,,,
O,consideration,,,,,
O,of,,,,,
O,$73.975,,,,,
O,million,,,,,
O,(,,,,,
O,Sale,,,,,
O,),,,,,
O,.,,,,,
O,Alliance,,,,,
O,applied,,,,,
O,to,,,,,
O,the,,,,,
O,Australian,,,,,
O,Taxation,,,,,
O,Office,,,,,
O,for,,,,,
O,a,,,,,
O,Class,,,,,
O,Ruling,,,,,
O,to,,,,,
O,confirm,,,,,
O,that,,,,,
O,the,,,,,
O,full,,,,,
O,amount,,,,,
O,of,,,,,
O,the,,,,,
O,distribution,,,,,
O,represents,,,,,
O,a,,,,,
O,Capital,,,,,
O,Return,,,,,
O,",",,,,,
O,with,,,,,
O,no,,,,,
O,portion,,,,,
O,deemed,,,,,
O,to,,,,,
O,be,,,,,
O,a,,,,,
O,dividend,,,,,
O,from,,,,,
O,profits.,,,,,
O,This,,,,,
O,Class,,,,,
O,Ruling,,,,,
O,2015/81,,,,,
O,was,,,,,
O,subsequently,,,,,
O,issued.,,,,,
O,A,,,,,
O,General,,,,,
O,Meeting,,,,,
O,of,,,,,
O,Alliance,,,,,
O,was,,,,,
O,held,,,,,
O,in,,,,,
O,Melbourne,,,,,
O,on,,,,,
O,11,,,,,
O,September,,,,,
O,2015,,,,,
O,at,,,,,
O,which,,,,,
O,shareholders,,,,,
O,approved,,,,,
O,the,,,,,
O,Sale,,,,,
O,and,,,,,
O,a,,,,,
O,return,,,,,
O,of,,,,,
O,capital,,,,,
O,of,,,,,
O,$0.12,,,,,
O,per,,,,,
O,share,,,,,
O,for,,,,,
O,each,,,,,
O,share,,,,,
O,held,,,,,
O,on,,,,,
O,the,,,,,
O,Record,,,,,
O,Date.,,,,,
O,The,,,,,
O,Sale,,,,,
O,completed,,,,,
O,on,,,,,
O,18,,,,,
O,September,,,,,
O,2015.,,,,,
O,On,,,,,
O,12,,,,,
O,October,,,,,
O,2015,,,,,
O,",",,,,,
O,trading,,,,,
O,in,,,,,
O,Alliance,,,,,
O,shares,,,,,
O,began,,,,,
O,on,,,,,
O,an,,,,,
O,‘,,,,,
O,ex,,,,,
O,capital,,,,,
O,return,,,,,
O,basis,,,,,
O,’,,,,,
O,.,,,,,
O,The,,,,,
O,Record,,,,,
O,date,,,,,
O,for,,,,,
O,the,,,,,
O,Capital,,,,,
O,Return,,,,,
O,was,,,,,
O,14,,,,,
O,October,,,,,
O,2015.,,,,,
O,Processing,,,,,
O,of,,,,,
O,payments,,,,,
O,totalling,,,,,
O,$50.06,,,,,
O,million,,,,,
O,commenced,,,,,
O,on,,,,,
O,28,,,,,
O,October,,,,,
O,2015.,,,,,
O,The,,,,,
O,Class,,,,,
O,Ruling,,,,,
O,noted,,,,,
O,that,,,,,
O,:,,,,,
O,“,,,,,
O,Alliance,,,,,
O,will,,,,,
O,not,,,,,
O,return,,,,,
O,capital,,,,,
O,of,,,,,
O,any,,,,,
O,more,,,,,
O,than,,,,,
O,$0.12,,,,,
O,per,,,,,
O,share,,,,,
O,at,,,,,
O,this,,,,,
O,time,,,,,
O,until,,,,,
O,Alliance,,,,,
O,has,,,,,
O,determined,,,,,
O,its,,,,,
O,tax,,,,,
O,liability,,,,,
O,in,,,,,
O,respect,,,,,
O,of,,,,,
O,the,,,,,
O,Sale,,,,,
O,",",,,,,
O,which,,,,,
O,will,,,,,
O,not,,,,,
O,be,,,,,
O,finalised,,,,,
O,until,,,,,
O,after,,,,,
O,the,,,,,
O,end,,,,,
O,of,,,,,
O,the,,,,,
O,income,,,,,
O,year,,,,,
O,ended,,,,,
O,30,,,,,
O,June,,,,,
O,2016.,,,,,
O,”,,,,,
O,Alliance,,,,,
O,recently,,,,,
O,received,,,,,
O,tax,,,,,
O,advice,,,,,
O,from,,,,,
O,its,,,,,
O,advisors,,,,,
O,that,,,,,
O,it,,,,,
O,will,,,,,
O,be,,,,,
O,able,,,,,
O,to,,,,,
O,utilise,,,,,
O,its,,,,,
O,carry,,,,,
O,forward,,,,,
O,tax,,,,,
O,losses,,,,,
O,to,,,,,
O,offset,,,,,
O,the,,,,,
O,tax,,,,,
O,gain,,,,,
O,made,,,,,
O,on,,,,,
O,the,,,,,
O,sale,,,,,
O,of,,,,,
O,its,,,,,
O,interest,,,,,
O,in,,,,,
O,the,,,,,
O,Four,,,,,
O,Mile,,,,,
O,Uranium,,,,,
O,Project,,,,,
O,as,,,,,
O,it,,,,,
O,satisfied,,,,,
O,the,,,,,
O,company,,,,,
O,loss,,,,,
O,recoupment,,,,,
O,test,,,,,
O,at,,,,,
O,30,,,,,
O,June,,,,,
O,2016,,,,,
O,",",,,,,
O,being,,,,,
O,the,,,,,
O,continuity,,,,,
O,of,,,,,
O,ownership,,,,,
O,test.,,,,,
O,Alliance,,,,,
O,has,,,,,
O,been,,,,,
O,advised,,,,,
O,to,,,,,
O,apply,,,,,
O,for,,,,,
O,another,,,,,
O,Class,,,,,
O,Ruling,,,,,
O,to,,,,,
O,enable,,,,,
O,a,,,,,
O,further,,,,,
O,return,,,,,
O,of,,,,,
O,capital,,,,,
O,to,,,,,
O,be,,,,,
O,put,,,,,
O,to,,,,,
O,shareholders.,,,,,
O,If,,,,,
O,the,,,,,
O,Class,,,,,
O,Ruling,,,,,
O,is,,,,,
O,positive,,,,,
O,and,,,,,
O,is,,,,,
O,approved,,,,,
O,by,,,,,
O,shareholders,,,,,
O,",",,,,,
O,the,,,,,
O,further,,,,,
O,return,,,,,
O,of,,,,,
O,capital,,,,,
O,would,,,,,
O,be,,,,,
O,made,,,,,
O,as,,,,,
O,soon,,,,,
O,as,,,,,
O,possible.,,,,,
O,At,,,,,
O,30,,,,,
O,June,,,,,
O,2016,,,,,
O,Alliance,,,,,
O,had,,,,,
O,cash,,,,,
O,reserves,,,,,
O,of,,,,,
O,$24.7,,,,,
O,million.,,,,,
O,On,,,,,
O,26,,,,,
O,April,,,,,
O,2016,,,,,
O,",",,,,,
O,the,,,,,
O,Company,,,,,
O,announced,,,,,
O,the,,,,,
O,retirement,,,,,
O,of,,,,,
O,Mr,,,,,
O,John,,,,,
O,Dunlop,,,,,
O,as,,,,,
O,its,,,,,
O,Chairman.,,,,,
O,We,,,,,
O,would,,,,,
O,again,,,,,
O,like,,,,,
O,to,,,,,
O,acknowledge,,,,,
O,Mr,,,,,
O,Dunlop,,,,,
O,for,,,,,
O,his,,,,,
O,leadership,,,,,
O,and,,,,,
O,significant,,,,,
O,contribution,,,,,
O,to,,,,,
O,Alliance,,,,,
O,over,,,,,
O,the,,,,,
O,past,,,,,
O,22,,,,,
O,years.,,,,,
O,At,,,,,
O,the,,,,,
O,same,,,,,
O,time,,,,,
O,",",,,,,
O,Alliance,,,,,
O,also,,,,,
O,announced,,,,,
O,reductions,,,,,
O,in,,,,,
O,Directors,,,,,
O,’,,,,,
O,fees,,,,,
O,",",,,,,
O,the,,,,,
O,Managing,,,,,
O,Director,,,,,
O,’,,,,,
O,s,,,,,
O,salary,,,,,
O,and,,,,,
O,Company,,,,,
O,Secretarial,,,,,
O,&,,,,,
O,financial,,,,,
O,services,,,,,
O,fees.,,,,,
O,On,,,,,
O,26,,,,,
O,May,,,,,
O,2016,,,,,
O,",",,,,,
O,Alliance,,,,,
O,announced,,,,,
O,the,,,,,
O,establishment,,,,,
O,of,,,,,
O,a,,,,,
O,Share,,,,,
O,Sale,,,,,
O,Facility,,,,,
O,(,,,,,
O,Facility,,,,,
O,),,,,,
O,for,,,,,
O,holders,,,,,
O,of,,,,,
O,unmarketable,,,,,
O,parcels,,,,,
O,of,,,,,
O,shares,,,,,
O,in,,,,,
O,the,,,,,
O,Company.,,,,,
O,The,,,,,
O,Facility,,,,,
O,allowed,,,,,
O,investors,,,,,
O,with,,,,,
O,small,,,,,
O,holdings,,,,,
O,to,,,,,
O,dispose,,,,,
O,of,,,,,
O,their,,,,,
O,unmarketable,,,,,
O,parcels,,,,,
O,and,,,,,
O,will,,,,,
O,allow,,,,,
O,the,,,,,
O,Company,,,,,
O,to,,,,,
O,reduce,,,,,
O,administrative,,,,,
O,costs.,,,,,
O,Pursuant,,,,,
O,to,,,,,
O,the,,,,,
O,terms,,,,,
O,of,,,,,
O,the,,,,,
O,facility,,,,,
O,",",,,,,
O,2,,,,,
O,",",,,,,
O,989,,,,,
O,shareholders,,,,,
O,who,,,,,
O,held,,,,,
O,unmarketable,,,,,
O,parcels,,,,,
O,of,,,,,
O,shares,,,,,
O,as,,,,,
O,at,,,,,
O,7pm,,,,,
O,AEST,,,,,
O,on,,,,,
O,25,,,,,
O,May,,,,,
O,2016,,,,,
O,(,,,,,
O,post-reporting,,,,,
O,),,,,,
O,have,,,,,
O,agreed,,,,,
O,to,,,,,
O,sell,,,,,
O,their,,,,,
O,shares.,,,,,
O,These,,,,,
O,holdings,,,,,
O,total,,,,,
O,9,,,,,
O,",",,,,,
O,428,,,,,
O,",",,,,,
O,409,,,,,
O,shares.,,,,,
O,At,,,,,
O,the,,,,,
O,Monardes,,,,,
O,copper-uranium,,,,,
O,project,,,,,
O,in,,,,,
O,Chile,,,,,
O,",",,,,,
O,Alliance,,,,,
O,completed,,,,,
O,a,,,,,
O,reverse,,,,,
O,circulation,,,,,
O,drilling,,,,,
O,program,,,,,
O,targeting,,,,,
O,copper,,,,,
O,and,,,,,
O,uranium.,,,,,
O,However,,,,,
O,",",,,,,
O,the,,,,,
O,results,,,,,
O,were,,,,,
O,too,,,,,
O,low,,,,,
O,grade,,,,,
O,to,,,,,
O,warrant,,,,,
O,further,,,,,
O,work,,,,,
O,and,,,,,
O,it,,,,,
O,was,,,,,
O,decided,,,,,
O,to,,,,,
O,withdraw,,,,,
O,from,,,,,
O,exploration,,,,,
O,activities,,,,,
O,in,,,,,
O,Chile.,,,,,
O,During,,,,,
O,the,,,,,
O,year,,,,,
O,",",,,,,
O,the,,,,,
O,Company,,,,,
O,has,,,,,
O,reviewed,,,,,
O,numerous,,,,,
O,international,,,,,
O,and,,,,,
O,domestic,,,,,
O,acquisition,,,,,
O,and,,,,,
O,farm-in,,,,,
O,opportunities,,,,,
O,looking,,,,,
O,for,,,,,
O,a,,,,,
O,flagship,,,,,
O,project,,,,,
O,",",,,,,
O,with,,,,,
O,a,,,,,
O,particular,,,,,
O,emphasis,,,,,
O,on,,,,,
O,New,,,,,
O,South,,,,,
O,Wales,,,,,
O,and,,,,,
O,Western,,,,,
O,Australia.,,,,,
O,Alliance,,,,,
O,has,,,,,
O,applied,,,,,
O,for,,,,,
O,and,,,,,
O,been,,,,,
O,granted,,,,,
O,two,,,,,
O,exploration,,,,,
O,licences,,,,,
O,in,,,,,
O,Western,,,,,
O,Australia,,,,,
O,at,,,,,
O,Nepean,,,,,
O,South,,,,,
O,",",,,,,
O,26,,,,,
O,km,,,,,
O,southwest,,,,,
O,of,,,,,
O,Coolgardie,,,,,
O,and,,,,,
O,at,,,,,
O,Gundockerta,,,,,
O,South,,,,,
O,",",,,,,
O,72,,,,,
O,km,,,,,
O,east,,,,,
O,of,,,,,
O,Kalgoorlie.,,,,,
O,Both,,,,,
O,projects,,,,,
O,are,,,,,
O,prospective,,,,,
O,for,,,,,
O,nickel,,,,,
O,",",,,,,
O,copper,,,,,
O,and,,,,,
O,gold.,,,,,
O,These,,,,,
O,acquisitions,,,,,
O,have,,,,,
O,coincided,,,,,
O,with,,,,,
O,a,,,,,
O,significant,,,,,
O,improvement,,,,,
O,in,,,,,
O,metals,,,,,
O,prices,,,,,
O,in,,,,,
O,the,,,,,
O,second,,,,,
O,half,,,,,
O,of,,,,,
O,the,,,,,
O,financial,,,,,
O,year,,,,,
O,led,,,,,
O,by,,,,,
O,zinc,,,,,
O,",",,,,,
O,gold,,,,,
O,",",,,,,
O,nickel,,,,,
O,",",,,,,
O,lead,,,,,
O,and,,,,,
O,aluminium.,,,,,
O,Alliance,,,,,
O,has,,,,,
O,also,,,,,
O,lodged,,,,,
O,applications,,,,,
O,for,,,,,
O,exploration,,,,,
O,licences,,,,,
O,in,,,,,
O,New,,,,,
O,South,,,,,
O,Wales,,,,,
O,at,,,,,
O,Mount,,,,,
O,Pleasant,,,,,
O,",",,,,,
O,30,,,,,
O,km,,,,,
O,south,,,,,
O,of,,,,,
O,Mudgee,,,,,
O,",",,,,,
O,for,,,,,
O,molybdenum,,,,,
O,",",,,,,
O,tungsten,,,,,
O,",",,,,,
O,copper,,,,,
O,and,,,,,
O,gold,,,,,
O,;,,,,,
O,at,,,,,
O,Garema,,,,,
O,",",,,,,
O,25,,,,,
O,km,,,,,
O,south,,,,,
O,of,,,,,
O,Forbes,,,,,
O,",",,,,,
O,for,,,,,
O,gold,,,,,
O,and,,,,,
O,",",,,,,
O,post-reporting,,,,,
O,",",,,,,
O,at,,,,,
O,Bogan,,,,,
O,Gate,,,,,
O,West,,,,,
O,",",,,,,
O,45,,,,,
O,km,,,,,
O,west,,,,,
O,of,,,,,
O,Parkes,,,,,
O,",",,,,,
O,for,,,,,
O,gold,,,,,
O,and,,,,,
O,base,,,,,
O,metals.,,,,,
O,Alliance,,,,,
O,has,,,,,
O,established,,,,,
O,a,,,,,
O,new,,,,,
O,portfolio,,,,,
O,of,,,,,
O,prospective,,,,,
O,tenements,,,,,
O,and,,,,,
O,with,,,,,
O,strong,,,,,
O,cash,,,,,
O,reserves,,,,,
O,to,,,,,
O,underpin,,,,,
O,exploration,,,,,
O,",",,,,,
O,will,,,,,
O,continue,,,,,
O,the,,,,,
O,search,,,,,
O,for,,,,,
O,an,,,,,
O,advanced,,,,,
O,project,,,,,
O,to,,,,,
O,rebuild,,,,,
O,the,,,,,
O,Company,,,,,
O,going,,,,,
O,forward.,,,,,
O,On,,,,,
O,behalf,,,,,
O,of,,,,,
O,the,,,,,
O,Board,,,,,
O,of,,,,,
O,Directors,,,,,
O,",",,,,,
O,we,,,,,
O,thank,,,,,
O,our,,,,,
O,shareholders,,,,,
O,for,,,,,
O,their,,,,,
O,continued,,,,,
O,support,,,,,
O,and,,,,,
O,look,,,,,
O,forward,,,,,
O,to,,,,,
O,successful,,,,,
O,exploration,,,,,
O,programs,,,,,
O,and,,,,,
O,further,,,,,
O,increases,,,,,
O,in,,,,,
O,metal,,,,,
O,prices,,,,,
O,over,,,,,
O,the,,,,,
O,next,,,,,
O,12,,,,,
O,months.,,,,,
O,ANNUAL,,,,,
O,REPORT,,,,,
O,2016,,,,,
O,1Review,,,,,
O,of,,,,,
O,operations,,,,,
O,During,,,,,
O,the,,,,,
O,financial,,,,,
O,year,,,,,
O,ended,,,,,
O,30,,,,,
O,June,,,,,
O,2016,,,,,
O,",",,,,,
O,Alliance,,,,,
O,completed,,,,,
O,WESTERN,,,,,
O,AUSTRALIA,,,,,
O,drilling,,,,,
O,at,,,,,
O,the,,,,,
O,Monardes,,,,,
O,project,,,,,
O,in,,,,,
O,Chile,,,,,
O,and,,,,,
O,lodged,,,,,
O,applications,,,,,
O,for,,,,,
O,Nepean,,,,,
O,South,,,,,
O,Nickel-Copper-Gold,,,,,
O,Project,,,,,
O,exploration,,,,,
O,licences,,,,,
O,in,,,,,
O,Western,,,,,
O,Australia,,,,,
O,and,,,,,
O,New,,,,,
O,South,,,,,
O,Wales,,,,,
O,for,,,,,
O,(,,,,,
O,Alliance,,,,,
O,100%,,,,,
O,),,,,,
O,gold,,,,,
O,and,,,,,
O,base,,,,,
O,metals.,,,,,
O,Exploration,,,,,
O,licence,,,,,
O,15/1483,,,,,
O,(,,,,,
O,Nepean,,,,,
O,South,,,,,
O,),,,,,
O,was,,,,,
O,granted,,,,,
O,on,,,,,
O,CHILE,,,,,
O,1,,,,,
O,April,,,,,
O,2016.,,,,,
O,During,,,,,
O,the,,,,,
O,year,,,,,
O,",",,,,,
O,Alliance,,,,,
O,completed,,,,,
O,a,,,,,
O,reverse,,,,,
O,circulation,,,,,
O,(,,,,,
O,RC,,,,,
O,),,,,,
O,drilling,,,,,
O,The,,,,,
O,project,,,,,
O,is,,,,,
O,located,,,,,
O,26,,,,,
O,km,,,,,
O,southwest,,,,,
O,of,,,,,
O,Coolgardie,,,,,
O,and,,,,,
O,captures,,,,,
O,program,,,,,
O,at,,,,,
O,the,,,,,
O,Company,,,,,
O,’,,,,,
O,s,,,,,
O,Monardes,,,,,
O,Project,,,,,
O,in,,,,,
O,Chile,,,,,
O,",",,,,,
O,located,,,,,
O,95,,,,,
O,approximately,,,,,
O,14,,,,,
O,km,,,,,
O,strike,,,,,
O,length,,,,,
O,of,,,,,
O,ultramafics,,,,,
O,interpreted,,,,,
O,to,,,,,
O,be,,,,,
O,km,,,,,
O,east,,,,,
O,of,,,,,
O,Copiap,,,,,
O,ó,,,,,
O,within,,,,,
O,the,,,,,
O,eastern,,,,,
O,margin,,,,,
O,of,,,,,
O,the,,,,,
O,Jurassic-early,,,,,
O,the,,,,,
O,southern,,,,,
O,extension,,,,,
O,of,,,,,
O,the,,,,,
O,sequence,,,,,
O,hosting,,,,,
O,the,,,,,
O,Nepean,,,,,
O,nickel,,,,,
O,Tertiary,,,,,
O,Monardes,,,,,
O,basin,,,,,
O,",",,,,,
O,adjacent,,,,,
O,to,,,,,
O,the,,,,,
O,Maricunga,,,,,
O,belt,,,,,
O,(,,,,,
O,Ni,,,,,
O,),,,,,
O,sulphide,,,,,
O,mine.,,,,,
O,The,,,,,
O,northern,,,,,
O,tenement,,,,,
O,boundary,,,,,
O,is,,,,,
O,located,,,,,
O,metallogenic,,,,,
O,province,,,,,
O,of,,,,,
O,Atacama,,,,,
O,Region,,,,,
O,III,,,,,
O,",",,,,,
O,northern,,,,,
O,Chile.,,,,,
O,900m,,,,,
O,from,,,,,
O,the,,,,,
O,Nepean,,,,,
O,mine.,,,,,
O,Ten,,,,,
O,RC,,,,,
O,holes,,,,,
O,were,,,,,
O,completed,,,,,
O,for,,,,,
O,a,,,,,
O,total,,,,,
O,of,,,,,
O,1,,,,,
O,",",,,,,
O,212,,,,,
O,metres,,,,,
O,",",,,,,
O,targeting,,,,,
O,The,,,,,
O,area,,,,,
O,was,,,,,
O,selected,,,,,
O,on,,,,,
O,the,,,,,
O,basis,,,,,
O,of,,,,,
O,encouraging,,,,,
O,Ni,,,,,
O,intercepts,,,,,
O,copper-uranium,,,,,
O,mineralisation,,,,,
O,over,,,,,
O,a,,,,,
O,strike,,,,,
O,length,,,,,
O,of,,,,,
O,1.8,,,,,
O,km,,,,,
O,and,,,,,
O,from,,,,,
O,previous,,,,,
O,rotary,,,,,
O,air,,,,,
O,blast,,,,,
O,(,,,,,
O,RAB,,,,,
O,),,,,,
O,drilling.,,,,,
O,down,,,,,
O,dip,,,,,
O,within,,,,,
O,the,,,,,
O,eastern,,,,,
O,anomalous,,,,,
O,unit,,,,,
O,at,,,,,
O,Monardes.,,,,,
O,Drill,,,,,
O,hole,,,,,
O,spacing,,,,,
O,ranged,,,,,
O,from,,,,,
O,57m,,,,,
O,to,,,,,
O,660m,,,,,
O,with,,,,,
O,two,,,,,
O,holes,,,,,
O,drilled,,,,,
O,at,,,,,
O,different,,,,,
O,Mincor,,,,,
O,Resources,,,,,
O,NL,,,,,
O,(,,,,,
O,Mincor,,,,,
O,),,,,,
O,(,,,,,
O,E15/884,,,,,
O,",",,,,,
O,2007-12,,,,,
O,),,,,,
O,explored,,,,,
O,for,,,,,
O,inclination,,,,,
O,angles,,,,,
O,from,,,,,
O,two,,,,,
O,sites.,,,,,
O,The,,,,,
O,regional,,,,,
O,strike,,,,,
O,of,,,,,
O,the,,,,,
O,host,,,,,
O,gold,,,,,
O,",",,,,,
O,iron,,,,,
O,ore,,,,,
O,and,,,,,
O,nickel.,,,,,
O,Work,,,,,
O,completed,,,,,
O,included,,,,,
O,soil,,,,,
O,stratigraphy,,,,,
O,is,,,,,
O,approximately,,,,,
O,N10oE,,,,,
O,and,,,,,
O,dipping,,,,,
O,80oSE,,,,,
O,(,,,,,
O,locally,,,,,
O,geochemistry,,,,,
O,",",,,,,
O,46,,,,,
O,line,,,,,
O,km,,,,,
O,of,,,,,
O,moving,,,,,
O,loop,,,,,
O,transient,,,,,
O,electromagnetic,,,,,
O,overturned,,,,,
O,),,,,,
O,.,,,,,
O,(,,,,,
O,TEM,,,,,
O,),,,,,
O,survey,,,,,
O,and,,,,,
O,87,,,,,
O,RAB,,,,,
O,drill,,,,,
O,holes,,,,,
O,for,,,,,
O,3352m,,,,,
O,which,,,,,
O,defined,,,,,
O,continuous,,,,,
O,ultramafic,,,,,
O,lithologies,,,,,
O,to,,,,,
O,the,,,,,
O,south,,,,,
O,of,,,,,
O,Nepean,,,,,
O,",",,,,,
O,covered,,,,,
O,All,,,,,
O,significant,,,,,
O,results,,,,,
O,(,,,,,
O,>1000ppm,,,,,
O,),,,,,
O,copper,,,,,
O,(,,,,,
O,Cu,,,,,
O,),,,,,
O,are,,,,,
O,as,,,,,
O,follows,,,,,
O,:,,,,,
O,by,,,,,
O,up,,,,,
O,to,,,,,
O,10m,,,,,
O,of,,,,,
O,alluvium/colluvium,,,,,
O,and,,,,,
O,intersecting,,,,,
O,nickel,,,,,
B-H,MRC001,,,,,
B-M,4m,,,,,
B-E,@,,,,,
B-P,0.18%,,,,,
B-M,Cu,,,,,
B-E,from,,,,,
B-D,119m,,,,,
O,mineralisation,,,,,
O,in,,,,,
O,three,,,,,
O,holes,,,,,
O,:,,,,,
O,including,,,,,
B-D,1m,,,,,
B-E,@,,,,,
B-P,0.33%,,,,,
B-M,Cu,,,,,
B-E,from,,,,,
B-D,121m,,,,,
B-H,NRB048,,,,,
B-E,:,,,,,
